Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,23,4798,3775,3297,33,224,5,799,1114,11,36
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library,23,4798,3775,3297,33,224,5,799,1114,11,36
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\Properties,3,194,103,50,10,26,2,65,347,0,2
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\obj,3,28,9,6,0,7,0,12,40,11,34
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\obj\Debug,2,23,6,4,0,6,0,11,38,10,32
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\obj\Release,1,5,3,2,0,1,0,1,2,1,2
